time:0.000000, iSource:7, iSink:6, capacity:44.000000
time:0.000000, iSource:7, iSink:14, capacity:1.000000
time:0.000000, iSource:22, iSink:3, capacity:2.000000
time:0.000000, iSource:22, iSink:21, capacity:1.000000
time:0.000000, iSource:22, iSink:23, capacity:48.000000
time:0.000000, iSource:22, iSink:27, capacity:1.000000
time:0.000000, iSource:6, iSink:3, capacity:1.000000
time:0.000000, iSource:6, iSink:5, capacity:15.000000
time:0.000000, iSource:6, iSink:4, capacity:1.000000
time:0.000000, iSource:6, iSink:7, capacity:1.000000
time:0.000000, iSource:6, iSink:13, capacity:1.000000
time:0.000000, iSource:14, iSink:13, capacity:9.000000
time:0.000000, iSource:14, iSink:7, capacity:1.000000
time:0.000000, iSource:14, iSink:15, capacity:4.000000
time:0.000000, iSource:3, iSink:2, capacity:51.000000
time:0.000000, iSource:3, iSink:22, capacity:78.000000
time:0.000000, iSource:3, iSink:25, capacity:1.000000
time:0.000000, iSource:3, iSink:26, capacity:20.000000
time:0.000000, iSource:3, iSink:15, capacity:55.000000
time:0.000000, iSource:3, iSink:4, capacity:1.000000
time:0.000000, iSource:3, iSink:6, capacity:35.000000
time:0.000000, iSource:21, iSink:17, capacity:52.000000
time:0.000000, iSource:21, iSink:24, capacity:1.000000
time:0.000000, iSource:21, iSink:22, capacity:11.000000
time:0.000000, iSource:23, iSink:22, capacity:45.000000
time:0.000000, iSource:23, iSink:25, capacity:1.000000
time:0.000000, iSource:23, iSink:26, capacity:1.000000
time:0.000000, iSource:27, iSink:2, capacity:50.000000
time:0.000000, iSource:27, iSink:24, capacity:20.000000
time:0.000000, iSource:27, iSink:22, capacity:8.000000
time:0.000000, iSource:27, iSink:25, capacity:49.000000
time:0.000000, iSource:5, iSink:1, capacity:1.000000
time:0.000000, iSource:5, iSink:2, capacity:13.000000
time:0.000000, iSource:5, iSink:6, capacity:46.000000
time:0.000000, iSource:5, iSink:8, capacity:19.000000
time:0.000000, iSource:4, iSink:3, capacity:63.000000
time:0.000000, iSource:4, iSink:6, capacity:1.000000
time:0.000000, iSource:13, iSink:6, capacity:1.000000
time:0.000000, iSource:13, iSink:12, capacity:1.000000
time:0.000000, iSource:13, iSink:14, capacity:35.000000
time:0.000000, iSource:15, iSink:3, capacity:36.000000
time:0.000000, iSource:15, iSink:11, capacity:27.000000
time:0.000000, iSource:15, iSink:14, capacity:1.000000
