IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:2.000000, arriveTime:3.000000
IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:3.000000, arriveTime:4.000000
IntervalTime:3.000000, sinkNodeId:27, sId:1, startTime:2.000000, arriveTime:5.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:1.000000, arriveTime:5.000000
IntervalTime:2.000000, sinkNodeId:27, sId:1, startTime:4.000000, arriveTime:6.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:2.000000, arriveTime:6.000000
IntervalTime:3.000000, sinkNodeId:27, sId:1, startTime:4.000000, arriveTime:7.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:1.000000, arriveTime:7.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:3.000000, arriveTime:8.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:1.000000, arriveTime:8.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:3.000000, arriveTime:8.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:3.000000, arriveTime:9.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:4.000000, arriveTime:9.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:3.000000, arriveTime:9.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:4.000000, arriveTime:10.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:6.000000, arriveTime:10.000000
IntervalTime:8.000000, sinkNodeId:27, sId:1, startTime:2.000000, arriveTime:10.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:7.000000, arriveTime:11.000000
IntervalTime:10.000000, sinkNodeId:27, sId:1, startTime:1.000000, arriveTime:11.000000
IntervalTime:9.000000, sinkNodeId:27, sId:1, startTime:2.000000, arriveTime:11.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:7.000000, arriveTime:12.000000
IntervalTime:11.000000, sinkNodeId:27, sId:1, startTime:1.000000, arriveTime:12.000000
IntervalTime:2.000000, sinkNodeId:27, sId:1, startTime:11.000000, arriveTime:13.000000
IntervalTime:12.000000, sinkNodeId:27, sId:1, startTime:1.000000, arriveTime:13.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:7.000000, arriveTime:13.000000
IntervalTime:2.000000, sinkNodeId:27, sId:1, startTime:12.000000, arriveTime:14.000000
IntervalTime:8.000000, sinkNodeId:27, sId:1, startTime:6.000000, arriveTime:14.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:10.000000, arriveTime:14.000000
IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:14.000000, arriveTime:15.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:8.000000, arriveTime:15.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:11.000000, arriveTime:15.000000
IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:15.000000, arriveTime:16.000000
IntervalTime:8.000000, sinkNodeId:27, sId:1, startTime:8.000000, arriveTime:16.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:12.000000, arriveTime:16.000000
IntervalTime:2.000000, sinkNodeId:27, sId:1, startTime:15.000000, arriveTime:17.000000
IntervalTime:8.000000, sinkNodeId:27, sId:1, startTime:9.000000, arriveTime:17.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:13.000000, arriveTime:17.000000
IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:17.000000, arriveTime:18.000000
IntervalTime:8.000000, sinkNodeId:27, sId:1, startTime:10.000000, arriveTime:18.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:11.000000, arriveTime:18.000000
IntervalTime:2.000000, sinkNodeId:27, sId:1, startTime:17.000000, arriveTime:19.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:12.000000, arriveTime:19.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:12.000000, arriveTime:19.000000
IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:19.000000, arriveTime:20.000000
IntervalTime:8.000000, sinkNodeId:27, sId:1, startTime:12.000000, arriveTime:20.000000
IntervalTime:3.000000, sinkNodeId:27, sId:1, startTime:17.000000, arriveTime:20.000000
IntervalTime:3.000000, sinkNodeId:27, sId:1, startTime:18.000000, arriveTime:21.000000
IntervalTime:8.000000, sinkNodeId:27, sId:1, startTime:13.000000, arriveTime:21.000000
IntervalTime:11.000000, sinkNodeId:27, sId:1, startTime:10.000000, arriveTime:21.000000
