time:3.000000, sinkNodeId:27, sId:1, number:1
time:4.000000, sinkNodeId:27, sId:1, number:1
time:5.000000, sinkNodeId:27, sId:1, number:1
time:5.000000, sinkNodeId:27, sId:1, number:1
time:6.000000, sinkNodeId:27, sId:1, number:1
time:6.000000, sinkNodeId:27, sId:1, number:1
time:7.000000, sinkNodeId:27, sId:1, number:1
time:7.000000, sinkNodeId:27, sId:1, number:1
time:8.000000, sinkNodeId:27, sId:1, number:1
time:8.000000, sinkNodeId:27, sId:1, number:2
time:9.000000, sinkNodeId:27, sId:1, number:1
time:9.000000, sinkNodeId:27, sId:1, number:2
time:10.000000, sinkNodeId:27, sId:1, number:1
time:10.000000, sinkNodeId:27, sId:1, number:2
time:11.000000, sinkNodeId:27, sId:1, number:1
time:11.000000, sinkNodeId:27, sId:1, number:2
time:12.000000, sinkNodeId:27, sId:1, number:1
time:12.000000, sinkNodeId:27, sId:1, number:1
time:13.000000, sinkNodeId:27, sId:1, number:1
time:13.000000, sinkNodeId:27, sId:1, number:2
time:14.000000, sinkNodeId:27, sId:1, number:1
time:14.000000, sinkNodeId:27, sId:1, number:2
time:15.000000, sinkNodeId:27, sId:1, number:1
time:15.000000, sinkNodeId:27, sId:1, number:2
time:16.000000, sinkNodeId:27, sId:1, number:1
time:16.000000, sinkNodeId:27, sId:1, number:2
time:17.000000, sinkNodeId:27, sId:1, number:1
time:17.000000, sinkNodeId:27, sId:1, number:2
time:18.000000, sinkNodeId:27, sId:1, number:1
time:18.000000, sinkNodeId:27, sId:1, number:2
time:19.000000, sinkNodeId:27, sId:1, number:1
time:19.000000, sinkNodeId:27, sId:1, number:2
time:20.000000, sinkNodeId:27, sId:1, number:1
time:20.000000, sinkNodeId:27, sId:1, number:2
time:21.000000, sinkNodeId:27, sId:1, number:1
time:21.000000, sinkNodeId:27, sId:1, number:2
time:22.000000, sinkNodeId:27, sId:1, number:1
time:22.000000, sinkNodeId:27, sId:1, number:2
time:22.000000, sinkNodeId:27, sId:2, number:1
time:23.000000, sinkNodeId:27, sId:1, number:1
time:23.000000, sinkNodeId:27, sId:1, number:2
time:23.000000, sinkNodeId:27, sId:2, number:1
time:24.000000, sinkNodeId:27, sId:1, number:1
time:24.000000, sinkNodeId:27, sId:2, number:1
time:24.000000, sinkNodeId:27, sId:1, number:2
time:24.000000, sinkNodeId:27, sId:2, number:1
time:25.000000, sinkNodeId:27, sId:1, number:1
time:25.000000, sinkNodeId:27, sId:2, number:1
time:25.000000, sinkNodeId:27, sId:2, number:1
time:26.000000, sinkNodeId:27, sId:1, number:1
time:26.000000, sinkNodeId:27, sId:2, number:1
time:26.000000, sinkNodeId:27, sId:2, number:1
time:27.000000, sinkNodeId:27, sId:1, number:1
time:27.000000, sinkNodeId:27, sId:2, number:1
time:27.000000, sinkNodeId:27, sId:2, number:2
time:28.000000, sinkNodeId:27, sId:1, number:1
time:28.000000, sinkNodeId:27, sId:2, number:1
time:28.000000, sinkNodeId:27, sId:2, number:2
time:29.000000, sinkNodeId:27, sId:1, number:1
time:29.000000, sinkNodeId:27, sId:2, number:1
time:29.000000, sinkNodeId:27, sId:2, number:2
time:29.000000, sinkNodeId:27, sId:1, number:1
time:30.000000, sinkNodeId:27, sId:1, number:1
time:30.000000, sinkNodeId:27, sId:2, number:1
time:30.000000, sinkNodeId:27, sId:2, number:2
time:30.000000, sinkNodeId:27, sId:1, number:1
time:31.000000, sinkNodeId:27, sId:1, number:1
time:31.000000, sinkNodeId:27, sId:2, number:1
time:31.000000, sinkNodeId:27, sId:2, number:2
time:32.000000, sinkNodeId:27, sId:1, number:1
time:32.000000, sinkNodeId:27, sId:2, number:1
time:32.000000, sinkNodeId:27, sId:2, number:2
time:32.000000, sinkNodeId:27, sId:1, number:1
time:33.000000, sinkNodeId:27, sId:1, number:1
time:33.000000, sinkNodeId:27, sId:2, number:1
time:33.000000, sinkNodeId:27, sId:1, number:2
time:33.000000, sinkNodeId:27, sId:2, number:2
time:34.000000, sinkNodeId:27, sId:1, number:1
time:34.000000, sinkNodeId:27, sId:2, number:1
time:34.000000, sinkNodeId:27, sId:2, number:2
time:35.000000, sinkNodeId:27, sId:1, number:1
time:35.000000, sinkNodeId:27, sId:2, number:1
time:35.000000, sinkNodeId:27, sId:1, number:2
