time:1.000000, sourceNodeId:22, sId:1, number:14
time:1.000000, sourceNodeId:7, sId:2, number:14
time:2.000000, sourceNodeId:22, sId:1, number:16
time:2.000000, sourceNodeId:7, sId:2, number:9
time:3.000000, sourceNodeId:22, sId:1, number:10
time:3.000000, sourceNodeId:7, sId:2, number:7
time:4.000000, sourceNodeId:22, sId:1, number:7
time:4.000000, sourceNodeId:7, sId:2, number:11
time:5.000000, sourceNodeId:22, sId:1, number:3
time:5.000000, sourceNodeId:7, sId:2, number:10
time:6.000000, sourceNodeId:22, sId:1, number:6
time:6.000000, sourceNodeId:7, sId:2, number:14
time:7.000000, sourceNodeId:22, sId:1, number:12
time:7.000000, sourceNodeId:7, sId:2, number:13
time:8.000000, sourceNodeId:22, sId:1, number:6
time:8.000000, sourceNodeId:7, sId:2, number:9
time:9.000000, sourceNodeId:22, sId:1, number:7
time:9.000000, sourceNodeId:7, sId:2, number:12
time:10.000000, sourceNodeId:22, sId:1, number:10
time:10.000000, sourceNodeId:7, sId:2, number:13
time:11.000000, sourceNodeId:22, sId:1, number:9
time:11.000000, sourceNodeId:7, sId:2, number:5
time:12.000000, sourceNodeId:22, sId:1, number:11
time:12.000000, sourceNodeId:7, sId:2, number:17
time:13.000000, sourceNodeId:22, sId:1, number:6
time:13.000000, sourceNodeId:7, sId:2, number:11
time:14.000000, sourceNodeId:22, sId:1, number:9
time:14.000000, sourceNodeId:7, sId:2, number:12
time:15.000000, sourceNodeId:22, sId:1, number:8
time:15.000000, sourceNodeId:7, sId:2, number:12
time:16.000000, sourceNodeId:22, sId:1, number:12
time:16.000000, sourceNodeId:7, sId:2, number:13
time:17.000000, sourceNodeId:22, sId:1, number:12
time:17.000000, sourceNodeId:7, sId:2, number:11
time:18.000000, sourceNodeId:22, sId:1, number:12
time:18.000000, sourceNodeId:7, sId:2, number:3
time:19.000000, sourceNodeId:22, sId:1, number:8
time:19.000000, sourceNodeId:7, sId:2, number:7
time:20.000000, sourceNodeId:22, sId:1, number:12
time:20.000000, sourceNodeId:7, sId:2, number:5
time:21.000000, sourceNodeId:22, sId:1, number:14
time:21.000000, sourceNodeId:7, sId:2, number:7
time:22.000000, sourceNodeId:22, sId:1, number:13
time:22.000000, sourceNodeId:7, sId:2, number:9
time:23.000000, sourceNodeId:22, sId:1, number:11
time:23.000000, sourceNodeId:7, sId:2, number:8
time:24.000000, sourceNodeId:22, sId:1, number:6
time:24.000000, sourceNodeId:7, sId:2, number:16
time:25.000000, sourceNodeId:22, sId:1, number:9
time:25.000000, sourceNodeId:7, sId:2, number:11
time:26.000000, sourceNodeId:22, sId:1, number:7
time:26.000000, sourceNodeId:7, sId:2, number:8
time:27.000000, sourceNodeId:22, sId:1, number:10
time:27.000000, sourceNodeId:7, sId:2, number:18
time:28.000000, sourceNodeId:22, sId:1, number:11
time:28.000000, sourceNodeId:7, sId:2, number:10
time:29.000000, sourceNodeId:22, sId:1, number:9
time:29.000000, sourceNodeId:7, sId:2, number:11
time:30.000000, sourceNodeId:22, sId:1, number:11
time:30.000000, sourceNodeId:7, sId:2, number:12
time:31.000000, sourceNodeId:22, sId:1, number:10
time:31.000000, sourceNodeId:7, sId:2, number:9
time:32.000000, sourceNodeId:22, sId:1, number:7
time:32.000000, sourceNodeId:7, sId:2, number:13
time:33.000000, sourceNodeId:22, sId:1, number:8
time:33.000000, sourceNodeId:7, sId:2, number:15
time:34.000000, sourceNodeId:22, sId:1, number:11
time:34.000000, sourceNodeId:7, sId:2, number:13
time:35.000000, sourceNodeId:22, sId:1, number:8
time:35.000000, sourceNodeId:7, sId:2, number:10
time:36.000000, sourceNodeId:22, sId:1, number:10
time:36.000000, sourceNodeId:7, sId:2, number:15
time:37.000000, sourceNodeId:22, sId:1, number:8
time:37.000000, sourceNodeId:7, sId:2, number:9
time:38.000000, sourceNodeId:22, sId:1, number:10
time:38.000000, sourceNodeId:7, sId:2, number:8
time:39.000000, sourceNodeId:22, sId:1, number:13
time:39.000000, sourceNodeId:7, sId:2, number:9
time:40.000000, sourceNodeId:22, sId:1, number:8
time:40.000000, sourceNodeId:7, sId:2, number:14
time:41.000000, sourceNodeId:22, sId:1, number:13
time:41.000000, sourceNodeId:7, sId:2, number:11
time:42.000000, sourceNodeId:22, sId:1, number:5
time:42.000000, sourceNodeId:7, sId:2, number:11
time:43.000000, sourceNodeId:22, sId:1, number:11
time:43.000000, sourceNodeId:7, sId:2, number:13
time:44.000000, sourceNodeId:22, sId:1, number:12
time:44.000000, sourceNodeId:7, sId:2, number:8
time:45.000000, sourceNodeId:22, sId:1, number:8
time:45.000000, sourceNodeId:7, sId:2, number:12
time:46.000000, sourceNodeId:22, sId:1, number:12
time:46.000000, sourceNodeId:7, sId:2, number:9
time:47.000000, sourceNodeId:22, sId:1, number:5
time:47.000000, sourceNodeId:7, sId:2, number:10
time:48.000000, sourceNodeId:22, sId:1, number:19
time:48.000000, sourceNodeId:7, sId:2, number:10
time:49.000000, sourceNodeId:22, sId:1, number:8
time:49.000000, sourceNodeId:7, sId:2, number:10
time:50.000000, sourceNodeId:22, sId:1, number:5
time:50.000000, sourceNodeId:7, sId:2, number:15
time:51.000000, sourceNodeId:22, sId:1, number:6
time:51.000000, sourceNodeId:7, sId:2, number:9
time:52.000000, sourceNodeId:22, sId:1, number:8
time:52.000000, sourceNodeId:7, sId:2, number:8
time:53.000000, sourceNodeId:22, sId:1, number:14
time:53.000000, sourceNodeId:7, sId:2, number:14
time:54.000000, sourceNodeId:22, sId:1, number:15
time:54.000000, sourceNodeId:7, sId:2, number:15
time:55.000000, sourceNodeId:22, sId:1, number:9
time:55.000000, sourceNodeId:7, sId:2, number:4
time:56.000000, sourceNodeId:22, sId:1, number:9
time:56.000000, sourceNodeId:7, sId:2, number:11
time:57.000000, sourceNodeId:22, sId:1, number:9
time:57.000000, sourceNodeId:7, sId:2, number:11
time:58.000000, sourceNodeId:22, sId:1, number:11
time:58.000000, sourceNodeId:7, sId:2, number:12
time:59.000000, sourceNodeId:22, sId:1, number:4
time:59.000000, sourceNodeId:7, sId:2, number:20
time:60.000000, sourceNodeId:22, sId:1, number:8
